,Team,Draw,Loss,Win,Top_Scorer
0,76ers,4,15,18,Allen Iverson
1,Bucks,3,30,33,Glenn Robinson
2,Bulls,7,22,29,Elton Brand
3,Cavaliers,0,7,13,Andre Miller
4,Celtics,0,3,4,Paul Pierce
5,Clippers,0,2,2,Jeff McInnis
6,Grizzlies,1,8,12,Mike Bibby
7,Hawks,3,11,19,Jason Terry
8,Heat,3,13,12,Anthony Mason
9,Hornets,9,39,44,David Wesley
10,Kings,7,40,34,Chris Webber
11,Knicks,5,43,35,Latrell Sprewell
12,Lakers,5,37,42,Kobe Bryant
13,Magic,2,29,17,Tracy McGrady
14,Mavericks,0,11,14,Michael Finley
15,Nets,0,12,8,Keith Van Horn
16,Nuggets,0,4,6,Antonio McDyess
17,Pacers,6,47,34,Reggie Miller
18,Pistons,0,26,29,Jerry Stackhouse
19,Raptors,5,28,27,Vince Carter
20,Rockets,4,20,24,Steve Francis
21,Spurs,0,22,27,David Robinson
22,Suns,0,0,2,Clifford Robinson
23,SuperSonics,0,13,8,Gary Payton
24,Timberwolves,0,2,1,Kevin Garnett
25,Trail Blazers,1,6,4,Rasheed Wallace
26,Warriors,1,2,5,Antawn Jamison
27,Wizards,0,11,9,Richard Hamilton
