,Player,Game_ID,Total_Points
0,Jerry Stackhouse,421,71
1,Kobe Bryant,428,65
2,Shaquille O'Neal,451,65
3,Allen Iverson,358,63
4,Antonio McDyess,415,62
5,Vince Carter,480,62
6,Vince Carter,311,61
7,Shaquille O'Neal,449,59
8,Juwan Howard,376,58
9,Latrell Sprewell,333,58
10,Richard Hamilton,459,58
11,Jerry Stackhouse,291,58
12,Shaquille O'Neal,340,58
13,Jerry Stackhouse,315,55
14,Kobe Bryant,406,54
15,Allen Iverson,437,54
16,Glenn Robinson,449,53
17,Richard Hamilton,488,53
18,Kobe Bryant,368,52
19,Jason Terry,393,51
20,Jason Terry,322,50
21,Kobe Bryant,358,50
22,Kobe Bryant,248,50
23,Jalen Rose,446,49
24,Kobe Bryant,313,49
25,Richard Hamilton,315,48
26,Kobe Bryant,271,47
27,Paul Pierce,387,47
28,Jerry Stackhouse,265,47
29,Vince Carter,332,46
30,Antawn Jamison,365,46
31,Glenn Robinson,474,45
32,Juwan Howard,332,44
33,Rasheed Wallace,270,44
34,Kevin Garnett,419,44
35,Juwan Howard,361,44
36,Stephon Marbury,281,44
37,Kobe Bryant,343,44
38,Antawn Jamison,372,43
39,Paul Pierce,519,42
40,Allen Iverson,453,42
41,Vince Carter,338,42
42,Glenn Robinson,445,42
43,Jerry Stackhouse,270,42
44,Steve Francis,306,41
45,Allen Iverson,420,41
46,Stephon Marbury,376,41
47,Paul Pierce,518,41
48,Glenn Robinson,427,40
49,Glenn Robinson,287,40
50,Jerry Stackhouse,472,40
51,Paul Pierce,490,40
52,Richard Hamilton,460,40
53,Tracy McGrady,277,40
